sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
43,QQ Western n Chinese Food,ChIJhSCdltRLzDERMdzJefYhQLs,"Jalan Ramah, Taman Serangkai, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Chinese Restaurant,The portion of chicken and chips was quite large. The vegetables were ordinary but balanced out the taste of the plate as the sauce was very tasty.,"The service is a bit slow and parking is hard to find, but the food is filling and the environment is decent","Pasta, chicken steak, fish fillet, E-noodles, fried chicken","Hey, do you want to experience a Chinese-style western restaurant? This restaurant is pretty good! The price is reasonable and the dishes are very generous. Although the service is average and parking may be a bit troublesome, it is highly recommended for customers who pursue cost-effectiveness!",Processed
44,Western 8,ChIJUYi16l1LzDER2ENbpK-SgRk,"G Floor, Unit 20 & 21, 151, Jln Klang Lama, Pusat Dagangan 3rd Mile Square, 58100 WP, Wilayah Persekutuan Kuala Lumpur",Western Restaurant,The fries were average. The burger bun was slightly toasted. The caramelized onions were slightly sweet. The BBQ sauce and mayonnaise were average. The pork patty was lightly battered and well seasoned.,This restaurant is located in a commercial plot and offers paid parking. The store is clean and tidy with comfortable indoor seating.,"French fries, hamburger buns, pork patties, pasta, chicken steak","Hey, want to experience the local western restaurant? This restaurant is very good! Its food is reasonably priced, the portion is large, and the taste is good. Some dishes may not be so delicious, but the service is very thoughtful.",Processed
45,Absolute Thai The Gardens Mall,ChIJIXD5-45JzDERc9Wykg8f7to,"The Gardens Mall, Level 3, Mid Valley City, 58000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Thai restaurants,"Shrimp Tom Yum soup, delicious and rich. Pad Thai is very authentic. Mango salad, refreshing and spicy","The outside dining area has a spectacular dome-like view of the mall interior, ordering using a QR code, good service, food came out quickly","Thai beef noodles, pineapple fried rice, sizzling salt and pepper beef, tofu buns, spicy Tom Yum soup","Hey, do you want to experience authentic Thai cuisine? This restaurant is highly recommended! Beautiful environment, fast serving, good service, and very delicious food. It is simply the most perfect Thai restaurant!",Processed
46,Coliseum Cafe & Grill Room @ The Gardens Mall,ChIJR5lcTYlJzDERjzFV5CZQNIs,"Lot LG 216, LGF, The Garden Mall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Western Restaurant,"The mixed platter was very tasty. All the meats were cooked perfectly. The chicken was juicy, the beef was medium rare, and the lamb was evenly cut.","The environment is very good, the dishes are good, the restaurant has a long history, but the service is average.","Mixed platter, onion soup, creme brulee, chicken, beef, lamb","Hey, do you want to experience a super delicious western restaurant? I recommend this restaurant! A variety of western food, each one is very delicious, but the service is not so good. You can come here for the taste and environment!",Processed
47,YAYOI - The Gardens Mall,ChIJF9KQqlxJzDERUjmxJSeJthI,"LG-231C, Lower Ground Floor, The Gardens Mall, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur",Japanese Restaurant,"Grilled meat, the meat tasted ok, but too dry. Not enough sauce. Vegetable salad was too simple",This restaurant is easy to spot. It's a bit tight but the tables are bearable. They have a large menu and the prices are reasonable. The food service is super fast and the staff is very nice,"Salmon rice, eel rice, sushi, ramen","Hey, want to experience Japanese food with high cost performance? This one is OK! A variety of Japanese dishes, good service, average environment, average taste, but the price is very reasonable, the cost performance is very good!",Processed
48,Old Western CowBoy Steak House,ChIJR1LGy8dJzDERCsOxK35QE5M,"30G, Jalan 9/125d, Taman Desa Petaling, 57100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Western Restaurant,The longan jelly drink was a bit bland. There were very few longans and the syrup did not fully dissolve after stirring for a while. The pineapple fried rice was a large portion but lacked a strong flavor.,"Need to queue, a bit crowded, almost full. It seems to be a favorite among locals, especially those who live nearby.","Prawn salad, cucumber plum drink, seafood fried rice and fried chicken, crab meat and shark fin soup","Hey, do you want to experience the local western restaurant? This restaurant is quite satisfactory! It is very popular among locals, so you need to queue up. The food tastes average. If you are willing to queue up, you can try it.",Processed
49,Snowflake Mid Valley Megamall,ChIJPbiasY5JzDER_fGCeeE2mdE,"Level 3, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Dessert,"The freshness of mango, shaved ice, taro balls, pearls and ice cream. Not too sweet and very refreshing","The interior design has been upgraded and looks more stylish and systematic. The price is above average, but the quality is good.","Strawberry and blueberry shaved ice, taro balls, pearls and ice cream","Hey, do you want to try local desserts? This one is highly recommended! The environment is newly renovated and very nice. The waiters are also very enthusiastic. There are many kinds of desserts, and the flavors can be matched at will, which is very delicious!",Processed
50,Ratatouille Gourmet,ChIJe87Cj9pLzDERb0whYFL5vHU,"73, jalan hujan rahmat 3, taman oug, kuala lumpur OUG, 58200 Kuala Lumpur",Western Restaurant,"Mashed potatoes were bland. However, the other dishes were 5 stars. The truffle mushroom soup was delicious and creamy, perfect for an after-meal treat","A simple, clean restaurant serving western food. The restaurant has a traditional appearance. The food is delicious, the service is fast and the prices are reasonable. Parking may be a little difficult during peak hours.","Fish and chips, coleslaw, cod tartar sauce, mushroom soup","Hey, do you want to experience a special western restaurant? This restaurant is highly recommended! The dishes are delicious except for mashed potatoes! Reasonable price, beautiful environment, good service, perfect restaurant!",Processed
51,Lagenda House & Cafe,ChIJuU4-BZHDSjARxJLCugoPdJ4,"2, Lebuh Carnavon, George Town, 10100 GeorgeTown, Pulau Pinang, Malaysia",Halal Restaurant,"Plays Ramlee’s songs, various cuisines, authentic Malay dishes, tender and flavourful beef rendang, wonderful food presentation, nice ambient and atmosphere, friendly and patience waiters, food are nice, big portion.",Difficult to find parking spots.,"Gado Gado, Malay Food, Grilled Fish, Satay, Beef Rendang, Pengat Pisang","Want to eat authentic Malay and Indonesia cuisines? You must not miss out this place! You will only regret if you don't come here. Asking what is their best dish? Confirm the ""Gado Gado"". It's the most rated and commented dish. The beef rendang is the tender and flavourful, too. They play P.Ramlee's songs leh, so nice. It blends in well with the decoration. The environment very calm and comfortable leh! Want to eat other cuisines? They also serve Western cuisine, so don't worry! Don't know what to order since the rating is so high? Ask the waiters, they are very friendly and patience. But you can just try out whatever you like, since everything is so delicious. Want to drive here? The parking spots are a little bit difficult to find. Overall, everything is good here.",Processed
52,WHEELER'S,ChIJN9mrRJDDSjARoANJhEVGNwM,"67, Lorong Love, George Town, 10200 George Town, Pulau Pinang, Malaysia",Cafe,"Quiet and relaxed vibe, variety of menu, great service, friendly staff, reasonable price, free flow plained water.","Some dishes are ordinary, the place is noisy sometimes.","Espresso Chicken, Banana Pancakes, Tiramisu Cake, Wheeler's Big Breakfast, Smoked Duck Benedict, Hot Caffe Latte, Classic Creme Brulee","Like to eat Western cuisine, but don't where to find a good cafe? This place is suitable for you. Their food might not be extraordinary, but only limited to some dishes. There are some dishes that are wonderful and delicious, like the Rendang Chicken pasta, charcoal hawaiian pizza, chicken bites, and chill & wheel chips. Sometimes, this place will be a little bit noisy, since it's quite a famous cafe though. Looking for a quieter and more relaxed vibe, go to the upstairs area. It is cozier and more peaceful up there. Worry about the price? Say no more! It's not expensive, perhaps just the most suitable price for Western cuisine in such famous cafe.",Processed
53,PINWHEEL RESTO CAFE,ChIJB7qq14zDSjARcR6bmSUy7HQ,"461, Lbh Chulia, George Town, 10200 George Town, Pulau Pinang, Malaysia",Cafe,"Cozy and nice atmosphere, kind and helpful staff, good service, most famous for Tomyam Prawn Carbonara.",Chicken meatball is not delicious.,"Tomyam Carbonara, Tomyam Spaghetti, Caramel Pudding, Lemon Butter Fish, Salmon Spaghetti, Pan Seared Chicken, Taro Latte, Chicken Masala Pizza, Pan Seared Salmon","Everything is just so good here, especially the cozy atmosphere and the most ordered, rated, commeneted, delicious Tomyam Prawn Carbonara. The only thing thing you are suggested to do here is ordering the food with chicken meatballs. Then, the other things you need to do is just enjoy, enjoy, and enjoy!",Processed
54,Tsan Char Koay Teow @ Chowrasta,ChIJwbv8CjHDSjAROuOVFl3Ch78,"Jalan Chowrasta, George Town, 10200 George Town, Pulau Pinang, Malaysia",Char Koay Teow,"Cheap and tasty, great Wok Hei, big prawns and cockles, friendly boss.","Closing too early,",Char Koay Teow,"One of the best Char Koay Teow in Penang that full of Wok Hei and have big prawns and cockles inside. Afraied that the cockles are unfresh? Just ask not to put it in your Char Koay Teow loh. It’s tucked away inside a market, there's a lot of place to sit. The boss friendly one. Come before the afternoon if you want to try it, else you can come the next day.",Processed
55,BALIK KAMPUNG CAFE,ChIJQZIEYzvrSjARomChu83dFL4,"balik kampung at, Kampung Jalan Baru, 11000 Balik Pulau, Pulau Pinang, Malaysia",Cafe,"Very special fried oyster, very suggested ""Deep-Fried Char Hor Fun"", nice environment, delicious Nyonya steamed fish, various authentic Malaysia dishes.","Very crowded during holidays, slightly longer serving time for the fried oyster.","Deep-Fried Char Hor Fun, Fried Oyster, 'Ho Kar Sai' Coffee","Fried oyster lover? Here, you will get to taste a unique style fried oyster. But you need to be patience lah, this dish will take some time to be served. The ""Deep Fried Char Hor Fun"" is also very famous. Try out their Nyonya steamed fish, too. There are also other authentic Malaysia dishes here. They are most famous for their ""Tiger bites Lion"" coffee, very thick, no joke. Try not to come here during the holidays, or else you will have to wait for some time. Don't know where to go after eating here? Don't worry, you can rent a bicycle here and enjoy your journey and the scenery around the paddy fields, villages, and rural areas. You will feel like going back to a village, just like it's name ""Balik Kampung"" translated in Malay.",Processed
56,OO White Coffee Snake Temple,ChIJERgfXy7BSjARqA2R_Yx7Q1g,"Jalan Tokong Ular, Bayan Lepas Industrial Park, 11900 Bayan Lepas, Pulau Pinang, Malaysia",Cafe,"Everything is delicious, depending on personal flavour.",Drinks might be too sweet sometimes.,"Hokkien Mee, Char Koay Teow, Egg Tart, Cendol","Excellent place to enjoy breakfast and lunch. Want to eat lunch after coming out from the Snake Temple? Don't know what to eat for lunch? Don't know what is your first meal to eat in Malaysia after arriving at Penang International Airport? Come here, they have air-cond. The drinks might be a little bit too sweet at times, but mostly unique and thick flavour. The environment is chill. Don't really need to worry much about the parking space.",Processed
57,Chang Jiang White Coffee,ChIJw-YuL13syjERFO9A51nZLiw,"7, Jalan Windsor, 30250 Ipoh, Perak, Malaysia",Cafe,"Short waiting time, fast serving, chill environment, rich and flavorful iced white coffee, most food is good, Halal certified.","Expensive price, parking spot not much available, drinks may taste undelicious depend on personla taste.","Butter Kaya Toast, Wantan Mee, Cofee, Tea, White Coffee","Wah, eating here feel like eating back in the 1950++. The setup of the environment totally focus on old trends. Want to try Halal certified Malaysian breakfast and lunch? This place is the best suitable for you. All the food are average. They are most famous for their coffee, whatever coffee it is, their coffee very manptap bro! But don't come here during the holidays lah, no place to park leh!",Processed
58,Jojo Little Kitchen,ChIJqdODTYhKzDERUo7o6k55Fw4,"89, Jalan Radin Bagus, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Pan Mee,"Clean and tidy environment, fast service, tasty Pan Mee.","Expensive price, small portion, food are different from what it looks like in the menu, limited parking lots.",Chili Pan Mee,"Price above average, since they need to include the tax. Plenty space for parking, since the area is always full of people, so park far a bit loh, considered exercise after meal loh. PS: you can add noodle when you are ordering, because it's a bit too less for one person portion. The sambal is a little bit spicy, so add it according to your spicy level.If you don't want to spend so much, just don't order the drinks. Consider buying MiXue.",Processed
